"SRR1039508","SRR1039509","SRR1039510","SRR1039511","SRR1039512","SRR1039513","SRR1039514","SRR1039515","SRR1039516","SRR1039517","SRR1039518","SRR1039519","SRR1039520","SRR1039521","SRR1039522","SRR1039523"
185,177.064,164.03,204,149,87.023,217.929,136.142,60.011,121.121,114,76.085,102.994,145,136.731,216.028
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20153.749,15640.701,18845.486,21597.364,32363.703,27421.17,54774.081,32870.761,2404.655,10104.956,7112.385,2216.04,32558.033,34040.388,46712.566,47478.998
0,0,2,0,1,0,0,0,2,0,0,0,2,0,2,0
0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
262.257,393.294,389.051,39.708,348.425,162.558,568.894,342.737,344.493,405.298,159.662,343.141,106.317,590.514,446.27,1039.596
2,0,0,0,0,0,0,0,0,0,1,0,0,6.63,0,0
753.528,704.501,754.999,717.416,953.696,504.274,1134.886,686.818,781.343,860.471,880.635,509.05,642.688,641.763,852.786,998.867
253.065,219.938,294.232,204.911,369.513,192.102,399.06,273.374,346.793,406.725,433.682,280.088,320.195,299.76,403.788,395.327
1.817,3,8,0,3,0,0,0,0,2,1,4,0,0,0,0
1,1,0,1,1,0,5,6,1,0,1,0,1,1,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,3,13,7,6,24,7,0,3,10,0,4,15,8,33.004
139.614,110.797,173.019,105.565,129.8,34,108.938,108.335,178.859,146.749,133.316,103.558,125.913,80.945,201.664,135.818
414.279,713.892,337.425,792.033,545.481,722.272,1563.042,442.609,342.786,675.225,729.92,402.771,416.098,707.551,490.928,804.273
255.556,236.175,367.684,162.179,412.879,165.188,447.991,371.422,353.583,483.201,434.805,328.074,315.327,228.043,378.891,299.986
1140.979,977.134,1276.712,1206.271,1380.036,811.714,2595.855,1447.968,1459.611,1702.513,1428.737,1384.164,1163.311,1057.502,1657.82,1349.972
194.341,225.766,192.3,266.653,296.727,202.191,418.356,194.448,260.1,387.075,425.224,193.707,174.663,279.71,267.532,465.036
1280.983,1510.939,1346.297,1424.048,1401.329,868.676,2008.262,1095.493,1317.38,2020.023,1841,1248.727,1066.672,1397.201,1647.327,1804.715
0,0,0,0,1,0,0,0,0,2,0,0,0,2,1,0
652.512,650.634,657.207,702.945,693.139,465.595,1087.474,522.311,715.888,1009.034,855.199,515.256,501.086,622.249,732.742,931.897
1,2,1,2,0,2,5,0,0,2,0,0,0,4,0,1
2766.817,1970.777,3002.934,2180.63,3327.244,1564.442,3678.121,3466.271,3183.285,3152.583,2692.431,2396.531,3739.893,1911.145,4547.007,2641.038
375.445,226.297,381.332,243.035,380.515,130.733,395.305,350.045,376.409,308.322,314.98,349.631,293.887,205.256,235.774,168.271
333.07,252.335,306.958,250.11,326.524,155.47,398.73,229.865,277.03,317.888,306.895,245.105,223.409,236.123,307.372,353.477
236.358,120.294,252.372,203.32,310.099,152.048,348.344,169.113,269.913,310.678,294.756,187.752,167.93,79.432,263.349,370.572
640.011,587,642.58,562.887,747,442,1186.535,698.577,778.423,872.285,880.258,669.118,575.126,604.006,805.569,846.43
444.41,854.374,529.961,1375.093,725.287,852.308,1998.242,636.307,450.917,1257.321,1111.809,436.362,538.765,1422.329,384.501,1740.524
713.523,725.186,716.833,711.165,703.762,524.821,1076.451,547.128,821.103,1082.407,1002.607,635.184,574.715,668.983,827.436,938.838
24.711,24.674,19.418,26.691,20.562,9.218,30.817,22.529,13.277,8.606,15.285,8.195,30.631,18.394,61.331,76.828
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
313.563,667.808,277,581.033,352.017,475.052,1037.966,330.262,395,973.018,886,286,311,684.538,242.529,869.594
12,9,9,17,10,7,13.009,12,11,44,33,14,7,36,12,36
57.426,41.605,52.639,55.794,111.213,59.714,126.679,80.979,61.484,90.128,79.802,63.928,83.204,87.39,108.47,92.821
5180.777,5069.68,5997.865,5714.499,7929.772,5345.902,15804.487,9823.043,10454.806,10631.193,9740.561,10201.908,7781.983,9114.983,11510.717,12000.197
207.05,107,255.398,117.905,98.963,4.649,80.353,180.686,139.454,28.992,18.234,82.143,116.591,12.817,193.688,87.948
7,0,6,3,9,2,2,11,4,3,5,3,4,0,11,3
21,10.002,23,15,55,23,84,82,76,115,98,99,40,30,38,47
1121.071,725.546,1161.399,816,1434.466,705.496,1600.721,1053.741,1400.05,2420.016,1766.722,1224.314,1406.379,1436.161,1943.01,1716.047
123,69,0,1.933,170.231,0,0,55.881,0,0,1.721,0,148,128.883,178.115,192.54
12,28,19.926,26,36.032,33,66,29,12,70.991,57.976,22,25.877,44.968,20,52
152.805,121.464,160.436,180.146,160.062,95.335,323.411,169.264,118.108,153.495,192.865,64.772,186.446,133.883,183.716,220.719
373.748,517.743,453.576,156.408,127.695,130.627,847.077,113.709,226.645,524.349,631.263,399.507,127.802,585.507,442.447,320.326
153,88,137,64.063,240,66,201.999,168,232.042,170,152,181,146.001,88,154,119
1382.369,1571.302,1854.374,1746.219,1573.908,514.562,2359.179,1921.077,1683.296,1657.811,1880.886,1563.725,1104.178,1317.812,1291.319,1870.581
1119.621,1528.345,1350.216,1517.459,2230.658,1590.132,3978.232,2217.376,1868.795,1786.262,1467.675,1276.915,2196.1,2674.889,2851.944,3994.271
45.052,18.778,10.422,17.511,30.523,29.934,54.199,32.757,31.927,4.318,26.994,0,0,27.755,0,0
274.108,273.846,253.814,309.494,299.809,236.007,635.971,324.115,295,458.034,386.079,308.283,244.883,310.863,358.159,438
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.349,0,32.185,7.622,1.042,12.36,17.307,39.176,10.775,11.353,0,17.086,41.994,0,37.307,41.393
20,3,25,6,65.448,11.001,22,45,8,10,2,4,17,5,14,7
