"SRR1039508","SRR1039509","SRR1039510","SRR1039511","SRR1039512","SRR1039513","SRR1039514","SRR1039515","SRR1039516","SRR1039517","SRR1039518","SRR1039519","SRR1039520","SRR1039521","SRR1039522","SRR1039523"
41.724773,48.530194,37.191201,47.603859,24.402055,29.089674,27.459064,26.431329,12.810953,18.247656,18.862753,19.974444,28.699447,31.54634,30.408084,40.199971
0,0,0,0,0,0,0,0,0.00764,0,0,0,0,0,0,0
373.450812,311.979194,345.960611,420.96757,497.509665,734.826461,640.601289,633.633955,37.734331,131.628658,101.412632,44.449912,687.974842,680.012696,758.92826,692.168534
0,0,0.050909,0,0.021284,0,0,0,0.043161,0,0,0,0.058477,0,0.04416,0
0,0,0,0.100563,0,0,0.059694,0,0.080544,0,0,0,0,0,0,0
11.664425,18.801904,17.29794,1.918096,12.976971,10.752807,15.949432,15.813081,12.941527,12.790986,5.630628,16.609685,5.373136,28.150391,17.39917,36.32272
0.101532,0,0,0,0,0,0,0,0,0,0.039109,0,0,0.360717,0,0
35.694879,35.690601,35.131124,35.329742,37.099316,33.834514,33.179263,33.130414,30.920433,28.749856,31.998652,25.97088,34.27153,31.870339,35.15561,36.412085
6.726837,6.284183,7.766699,5.741127,8.21142,7.379934,6.72862,7.542196,7.83366,7.612284,8.883367,8.070301,9.706042,8.543932,9.372565,8.268673
0.265688,0.189048,0.468927,0,0.14626,0,0,0,0,0.206147,0.112548,0.487145,0,0,0,0
0.0619,0.03107,0,0.030469,0.051552,0,0.194687,0.385355,0.052296,0,0.047679,0,0.070531,0.066328,0.166899,0.022742
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.088077,0.331568,0.131768,0.60407,0.256329,0.381832,0.665277,0.319904,0,0.093034,0.339286,0,0.200811,0.708075,0.308341,1.143382
5.493719,4.688503,6.807794,4.381736,4.245239,1.933397,2.698674,4.424026,5.937447,5.062957,4.041848,4.424404,5.648422,3.414497,6.940855,4.214689
13.371418,24.921236,11.181448,27.400878,14.826353,34.406273,32.139315,15.492157,9.707717,15.706249,18.170668,14.324086,15.873247,25.293368,14.22778,21.028789
16.819403,14.169068,18.405293,10.532447,18.970935,16.446795,15.968325,21.867569,20.058159,20.70733,19.074237,20.822117,21.532786,16.27862,17.33989,12.052864
10.249366,10.445607,14.929852,12.496989,11.627018,10.798326,16.106546,15.297632,11.163675,12.216985,10.516644,16.851776,14.260454,13.41433,14.111595,11.259231
40.957765,53.280115,42.744407,60.264291,52.835121,61.045673,56.460853,40.858776,46.591285,57.355073,68.92446,44.325271,41.943758,62.488768,49.504561,76.891123
72.582556,94.972059,69.419876,79.347611,60.778353,64.279748,66.749435,58.288916,60.15747,76.82056,72.619437,69.255337,62.28702,80.555264,78.852282,72.739732
0,0,0,0,0.084467,0,0,0,0,0.066048,0,0,0,0.545171,0.041058,0
23.560342,25.319893,23.60449,26.922023,20.885147,24.598449,24.811684,19.628693,21.925273,25.657828,23.876706,20.350451,20.820013,24.181933,23.229504,26.560546
0.038594,0.083005,0.03844,0.081417,0,0.111546,0.121488,0,0,0.054353,0,0,0,0.165494,0,0.030363
69.489264,53.201314,74.867485,57.721053,69.369385,56.786316,58.186856,90.358087,67.29041,55.748617,52.109498,65.245334,107.117465,51.469374,99.702687,52.194045
6.664998,4.316825,6.707693,4.545094,5.603896,3.354348,4.42145,6.450215,5.619881,3.853583,4.309331,6.72909,5.950762,3.907783,3.650723,2.350793
26.916844,21.002487,26.467464,22.719438,21.797976,17.999858,19.484522,19.793712,19.74742,18.485096,18.85458,21.293961,20.541121,19.386713,19.803292,22.090108
6.162512,3.637016,6.501042,5.982004,6.690383,5.593107,5.795755,4.878222,6.037581,5.787509,5.885712,5.478091,5.360452,2.480095,6.131001,7.535604
20.198099,20.477593,20.163073,18.729616,19.581053,20.15921,23.581039,25.044669,21.134001,19.775413,24.066791,23.530879,25.580431,20.437492,26.253107,22.447145
7.068075,15.567338,8.887636,21.135298,8.85738,17.90746,20.374809,11.007974,6.375407,14.280488,12.762556,6.877436,9.485781,24.104528,4.873097,21.852509
30.845455,33.718137,31.233296,32.437378,25.295748,32.785929,29.29213,24.545233,29.911493,32.950537,33.571224,29.754702,28.321474,31.000055,31.281944,31.928495
0.173433,0.186013,0.13468,0.197215,0.119605,0.093519,0.136326,0.16414,0.078283,0.042523,0.082684,0.062367,0.409339,0.13848,0.600409,0.424396
0,0,0,0,0,0,0.04497,0,0,0,0,0,0,0,0,0
5.589328,12.791457,4.892587,10.910857,5.205544,12.339438,11.778737,6.389941,6.575264,12.21131,12.42314,5.49986,6.416398,13.890267,3.761328,12.164174
0.27241,0.219581,0.202691,0.40667,0.188406,0.229665,0.186033,0.282748,0.21012,0.703262,0.577303,0.344524,0.181229,0.87636,0.237756,0.643083
0.410916,0.319783,0.372238,0.420313,0.674411,0.617619,0.571339,0.601523,0.369611,0.454016,0.440131,0.496041,0.679251,1.542477,0.676061,0.522759
42.732591,44.131661,49.067619,48.592783,53.496814,62.523242,80.892335,82.688377,71.803443,60.459467,60.779807,89.719472,72.528362,79.446826,82.422224,78.464926
3.9134,2.079948,6.408485,2.246683,3.224634,0.411224,1.518065,3.234129,2.269013,0.589911,0.709482,2.00552,2.37797,0.894482,3.071649,1.146267
0.063101,0,0.053476,0.038013,0.067253,0.034782,0.015165,0.127752,0.030299,0.025413,0.03474,0.039139,0.041136,0,0.086391,0.028409
0.156137,0.051979,0.17324,0.114816,0.288373,0.279194,0.383029,0.411891,0.399734,0.391726,0.46738,0.519469,0.220826,0.155715,0.174494,0.261315
11.716911,8.08263,11.899533,9.007083,12.797848,11.179743,10.45992,11.343074,12.424004,18.143276,14.12346,13.75737,16.709179,16.255214,17.971973,14.330845
1.572475,1.071283,0,0.160476,2.026728,0,0,0.74158,0,0,0.104105,0,2.158387,1.767246,2.639965,2.385882
0.137884,0.34564,0.226509,0.314602,0.343282,0.548066,0.477918,0.3459,0.115891,0.574276,0.513432,0.274095,0.33919,0.554205,0.200281,0.470243
2.854772,2.861108,2.649534,3.943376,2.995207,2.418004,3.722049,3.835447,1.580574,2.463848,2.96807,1.391067,4.032372,2.996263,3.105946,3.534632
9.706764,16.066615,12.822022,10.044862,6.465714,11.476395,17.922774,7.173828,8.06075,11.309693,12.426528,10.516562,8.854602,23.886749,12.667867,15.318854
2.004876,1.170016,2.031705,0.834921,3.520646,1.180564,2.323994,2.158183,2.413805,1.511132,1.841928,2.428727,2.491147,1.168072,2.860892,1.232415
19.486392,26.480338,27.006321,26.224891,20.799397,10.917904,21.420414,28.180202,22.967365,17.434343,20.997776,24.323246,18.672797,20.141357,16.917611,23.711659
15.351273,23.600861,18.351649,22.817503,25.84045,32.173403,35.092204,32.004375,22.081826,18.136829,16.054761,20.110773,34.574256,40.913966,34.182939,44.881346
0.735306,0.32932,0.168486,0.301059,0.413226,0.706144,0.557382,0.577797,0.438199,0.049615,0.339553,0,0,0.485837,0,0
6.083397,6.531792,5.587737,7.237947,5.522094,7.570168,8.891396,7.466247,5.508803,7.157199,6.60315,7.417009,6.198366,7.398375,6.937141,7.649349
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.519789,0,0.742743,0.186803,0.19722,0.415467,0.253568,0.867204,0.210884,0.185907,0,0.430786,1.113887,0,0.726219,0.757576
0.816296,0.127131,1.040632,0.289224,1.954571,0.552766,0.515798,1.656082,0.257889,0.23979,0.024455,0.170815,0.632765,0.218012,0.45007,0.202162
